Date,Inv,Est,Order,Client,Descrip,Esp,Larg,Comp,Piece_price,KG_price,Quantity,Total
01-02-2018,0220140,11,257345-50,KEKO,"CHAPA GR LTQ 6,30 SAE1010","6,3000","1.200,0000","3.000,0000","0,00","3,68","1.409,00","5.444,38"
01-02-2018,0220146,11,255908-10,FERNANDA,"TIRA FF BOB 0,60 NBR6658 OL","0,6000","103,0000","0,0000","0,00","4,54","897,00","4.276,00"
01-02-2018,0220088,11,257778-10,RODARE,"CHAPA GR LTQ 9,50 NBR8300","9,5000","1.200,0000","3.000,0000","0,00","3,55","3.907,00","14.563,34"
01-02-2018,0220088,11,257674-20,RODARE,"CHAPA GR LTQ 6,30 SAE1010","6,3000","1.500,0000","3.000,0000","0,00","3,55","5.464,00","20.367,06"
01-03-2018,0221891,11,258051-10,KIFIXINDUST,"TIRA FQ DEC BOB 2,65 NBR6658 OL","2,6500","124,0000","0,0000","0,00","4,50","2.270,00","10.725,75"
01-03-2018,0221891,11,258051-20,KIFIXINDUST,"TIRA FQ DEC BOB 2,65 NBR6658 OL","2,6500","112,0000","0,0000","0,00","4,50","2.080,00","9.828,00"
01-03-2018,0221850,11,258248-40,KEKO,"CHAPA FQ 4,25 SAE1010","4,2500","1.500,0000","3.000,0000","0,00","3,90","1.520,00","6.224,40"
01-03-2018,0221850,11,258451-50,KEKO,"CHAPA GR LTQ 6,30 SAE1010","6,3000","1.200,0000","3.000,0000","0,00","3,90","1.469,00","6.015,56"
01-03-2018,0221851,11,258054-10,SASPLASTI,"TIRA FQ DEC BOB 2,65 NBR6658 OL","2,6500","22,0000","0,0000","0,00","4,56","1.420,00","6.798,96"
01-03-2018,0221852,11,257320-30,UTIMIL,"BLANK GA FF 0,90 NBR6658 OL","0,9000","375,0000","285,0000","0,00","4,45","2.096,00","9.793,56"
01-03-2018,0221852,11,257320-40,UTIMIL,"FITA DE ACO PARA EMBALAGEM 0,80","0,8000","25,4000","0,0000","0,00","5,98","483,00","3.032,76"
01-06-2018,0226596,11,262510-20,METALMATRIX,"TIRA ZC BOB 1,55 NBR7008 ZC CR MI REV","1,5500","20,0000","0,0000","0,00","5,33","7.055,00","39.483,31"
01-06-2018,0226600,11,262468-40,METCRESPAR,"TIRA FF BOB 1,20 NBR6658 OL","1,2000","53,0000","0,0000","0,00","4,00","3.301,00","13.864,20"
01-06-2018,0226600,11,262468-50,METCRESPAR,"TIRA FF BOB 1,20 NBR6658 OL","1,2000","62,0000","0,0000","0,00","4,00","1.302,00","5.468,40"
01-06-2018,0226600,11,262468-60,METCRESPAR,"TIRA FF BOB 0,90 NBR6658 OL","0,9000","31,0000","0,0000","0,00","4,10","1.095,00","4.713,98"
01-06-2018,0226600,11,262468-70,METCRESPAR,"TIRA FF BOB 0,90 NBR6658 OL","0,9000","39,0000","0,0000","0,00","4,10","1.731,00","7.451,96"
01-06-2018,0226600,11,262468-80,METCRESPAR,"TIRA FF BOB 1,20 NBR6658 OL","1,2000","74,0000","0,0000","0,00","4,00","1.324,00","5.560,80"
01-06-2018,0226600,11,262468-90,METCRESPAR,"TIRA FF BOB 0,90 NBR6658 OL","0,9000","44,0000","0,0000","0,00","4,10","4.296,00","18.494,28"
01-06-2018,0226602,11,263366-10,AGGYINDUST,"TR REL 0,35 BOB NBR5007 G4RL BbOL","0,3500","260,0000","0,0000","0,00","6,36","1.502,00","10.030,36"
01-06-2018,0226602,11,263366-20,AGGYINDUST,"TR REL 0,30 BOB NBR5007 G2L390 BbOL","0,3000","260,0000","0,0000","0,00","6,36","1.205,00","8.046,99"
01-06-2018,0226602,11,263366-30,AGGYINDUST,"TR REL 0,30 BOB NBR5007 G4RL BbOL","0,3000","260,0000","0,0000","0,00","6,36","743,00","4.961,75"
01-06-2018,0226602,11,263366-40,AGGYINDUST,"TIRA FF BOB 0,60 NBR5915 EEP OL","0,6000","213,0000","0,0000","0,00","4,53","870,00","4.138,16"
01-06-2018,0226604,11,262096-10,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR NO REV","1,2500","25,0000","0,0000","0,00","5,04","1.684,00","8.487,36"
01-06-2018,0226543,11,260366-10,VIEMME,"TIRA ZC BOB 1,25 NBR7008 ZC CR MI REV","1,2500","40,0000","0,0000","0,00","4,85","3.981,00","20.273,24"
01-06-2018,0053475,14,263420-10,MOFERKO,"CHAPA GR LCG 16,00 ASTM A 36","16,0000","2.000,0000","3.000,0000","0,00","4,25","825,00","3.731,36"
01-06-2018,0226595,11,258134-10,MAQENGE,"TIRA FF BOB 0,60 NBR6651 EEV OL","0,6000","213,0000","0,0000","0,00","5,94","2.587,00","16.135,12"
01-08-2018,0230276,11,266094-20,HIDROJET,"CHAPA GR LTQ 8,00 SAE1010","8,0000","1.200,0000","1.650,0000","0,00","3,83","1.917,00","7.709,22"
01-08-2018,0230276,11,266129-20,HIDROJET,"CHAPA GR LTQ 8,00 SAE1010","8,0000","1.200,0000","1.650,0000","0,00","3,83","3.837,00","15.430,50"
01-08-2018,0230278,11,266887-30,MOFERKO,"CHAPA GR LTQ 6,30 NBR8300","6,3000","1.200,0000","3.000,0000","0,00","4,04","3.697,00","15.957,08"
01-10-2018,0233754,11,269207-10,METALMATRIX,"TIRA FF BOB 1,50 NBR6658 OL","1,5000","25,0000","0,0000","0,00","4,82","1.289,00","6.523,63"
01-10-2018,0233751,11,268499-50,KEKO,"CHAPA GR LTQ 6,30 SAE1010","6,3000","1.200,0000","3.000,0000","0,00","4,23","2.915,00","12.946,97"
01-11-2018,0235669,11,270536-30,KEKO,"CHAPA GR LTQ 6,30 SAE1010","6,3000","1.200,0000","3.000,0000","0,00","4,05","1.473,00","6.263,93"
01-11-2018,0235669,11,270324-40,KEKO,"CHAPA FQ 4,25 SAE1010","4,2500","1.500,0000","3.000,0000","0,00","4,05","1.499,00","6.374,50"
02-01-2018,0218340,11,252446-10,METMETALCIN,"TIRA FF BOB 0,60 NBR5915 EEP OL","0,6000","213,0000","0,0000","0,00","4,97","819,00","4.273,95"
02-01-2018,0218340,11,254035-20,METMETALCIN,"TR REL 0,30 BOB NBR5007 G2L290 BbOL","0,3000","260,0000","0,0000","0,00","6,99","2.330,00","17.101,04"
02-01-2018,0218340,11,252990-30,METMETALCIN,"TR REL 0,35 BOB NBR5007 G4RL BbOL","0,3500","260,0000","0,0000","0,00","6,99","1.799,00","13.203,76"
02-01-2018,0218340,11,252990-40,METMETALCIN,"TR REL 0,30 BOB NBR5007 G4RL BbOL","0,3000","260,0000","0,0000","0,00","6,99","817,00","5.996,37"
02-01-2018,0218339,11,255047-20,KEKO,"CHAPA FQ 2,00 SAE1010","2,0000","1.200,0000","3.000,0000","0,00","3,84","1.343,00","5.414,98"
02-01-2018,0218339,11,256049-40,KEKO,"CHAPA FQ 4,25 SAE1010","4,2500","1.500,0000","3.000,0000","0,00","3,68","3.062,00","11.831,57"
02-02-2018,0220165,11,254557-10,KEKO,"CHAPA FF 1,50 NBR5915 EM OL","1,5000","1.200,0000","1.595,0000","0,00","4,48","2.700,00","12.700,80"
02-02-2018,0220165,11,256528-10,KEKO,"CHAPA GR LTQ 8,00 SAE1010","8,0000","1.200,0000","3.000,0000","0,00","3,90","1.163,00","4.762,49"
02-02-2018,0220165,11,257345-50,KEKO,"CHAPA GR LTQ 6,30 SAE1010","6,3000","1.200,0000","3.000,0000","0,00","3,90","2.907,00","11.904,17"
02-02-2018,0220180,11,252283-10,FLANTECH,"CHAPA FF 0,90 NBR5915 EEP OL GR2","0,9000","1.000,0000","1.900,0000","0,00","4,70","2.035,00","9.564,50"
02-02-2018,0220179,11,256527-20,KEKO,"CHAPA FQ 2,00 SAE1010","2,0000","1.200,0000","3.000,0000","0,00","4,07","1.488,00","6.358,97"
02-02-2018,0220179,11,256529-30,KEKO,"CHAPA FQ 3,00 SAE1010","3,0000","1.200,0000","3.000,0000","0,00","3,95","1.468,00","6.088,53"
02-02-2018,0220179,11,257345-50,KEKO,"CHAPA GR LTQ 6,30 SAE1010","6,3000","1.200,0000","3.000,0000","0,00","3,90","2.907,00","11.904,17"
02-02-2018,0220181,11,252991-20,METMETALCIN,"TR REL 0,30 BOB NBR5007 G2L290 BbOL","0,3000","260,0000","0,0000","0,00","6,99","3.212,00","23.574,47"
02-02-2018,0220181,11,252991-30,METMETALCIN,"TR REL 0,35 BOB NBR5007 G4RL BbOL","0,3500","260,0000","0,0000","0,00","6,99","1.964,00","14.414,78"
02-02-2018,0220181,11,254035-30,METMETALCIN,"TIRA FF BOB 0,60 NBR5915 EEP OL","0,6000","213,0000","0,0000","0,00","4,97","919,00","4.795,80"
02-02-2018,0220181,11,252991-40,METMETALCIN,"TR REL 0,30 BOB NBR5007 G4RL BbOL","0,3000","260,0000","0,0000","0,00","6,99","1.142,00","8.381,71"
02-02-2018,0220151,11,257227-20,MOFERKO,"CHAPA GR LTQ 8,00 NBR 6656 LNE 38","8,0000","1.200,0000","3.000,0000","0,00","4,35","1.419,00","6.586,49"
02-03-2018,0221936,11,257491-20,METMETALCIN,"TR REL 0,30 BOB NBR5007 G2L290 BbOL","0,3000","260,0000","0,0000","0,00","6,99","1.592,00","11.684,48"
02-03-2018,0221936,11,255962-30,METMETALCIN,"TR REL 0,35 BOB NBR5007 G4RL BbOL","0,3500","260,0000","0,0000","0,00","6,99","1.084,00","7.956,02"
