Cliente/Fornec,Descrição,Espessura,Largura,Compr,Potencial/consumo/mês-Kg,Tipo Material,Família Produto,E-mail,Contato,Fone,e-mail,Representante,Número de Faturamentos - No ANO,Peso Acumulado Faturado - No ANO,Peso Médio Mensal Faturado - No ANO,Dias s/ Compra,Situação, Cliente Prioritário, Preço Médio , Potencial Financeiro, Potencial de Comissão,12/19/2023,2023,12
ACESITA SERV,"FITA DE ACO PARA EMBALAGEM 0,80 FE2 PINT",0.80,19.00,,"2,000",FAE,FITA,,,,,MACIEL,  -   ,  -   ,  -   ,"4,810",Inativo,, - , -, -,,,
ACO 3D,"TIRA FF BOB 0,60 NBR6658 OL",0.6,63.00,,"1,000",TFF OL BOB,FITA,,OSCAR,3222-8600,, MACIEL,  -   ,  -   ,  -   ,"5,439",Inativo,, - , -, -,,,
ACO 3D,"TIRA FF BOB 0,90 NBR6658 OL",0.9,58.00,,"1,000",TFF OL BOB,FITA,,OSCAR,3222-8600,, MACIEL,  -   ,  -   ,  -   ,"5,439",Inativo,, - , -, -,,,
ACO 3D,"TIRA FF BOB 1,06 NBR6658 OL",1.06,30.00,,"1,000",TFF OL BOB,FITA,,OSCAR,3222-8600,, MACIEL,  -   ,  -   ,  -   ,"5,439",Inativo,, - , -, -,,,
ACO 3D,"TIRA FF BOB 1,20 NBR5915 EP OL",1.2,31.20,,"1,000",TFF OL BOB,FITA,,OSCAR,3222-8600,, MACIEL,  -   ,  -   ,  -   ,"5,439",Inativo,, - , -, -,,,
ACO BRASIL,"CHAPA FF 1,50 NBR6658 OL",1.5,"1,200.00"," 3,000 ","30,000",CFF OL ,CHAPA,compras@aco-brasil.com,BÓRIS,3533-7777,, JOCIARA,  -   ,  -   ,  -   ,"3,668",Inativo,, - , -, -,,,
ACO BRASIL,"CHAPA FQ 2,00 NBR6658",2.00,"1,200.00"," 3,000 ","10,000",CFQ ,CHAPA,compras@aco-brasil.com,BÓRIS,3533-7777,marcao@aco-brasil.com, JOCIARA,  -   ,  -   ,  -   ,"3,668",Inativo,, - , -, -,,,
ACO BRASIL,"CHAPA FQ 2,25 NBR6658",2.25,"1,200.00"," 3,000 ","10,000",CFQ ,CHAPA,compras@aco-brasil.com,BÓRIS,3533-7777,marcao@aco-brasil.com, JOCIARA,  -   ,  -   ,  -   ,"3,668",Inativo,, - , -, -,,,
ACO BRASIL,"CHAPA FQ 2,65 NBR6658",2.65,"1,200.00"," 3,000 ","10,000",CFQ ,CHAPA,compras@aco-brasil.com,BÓRIS,3533-7777,marcao@aco-brasil.com, JOCIARA,  -   ,  -   ,  -   ,"3,668",Inativo,, - , -, -,,,
ACO BRASIL,"CHAPA FQ 3,00 NBR6658",3.00,"1,200.00"," 3,000 ","30,000",CFQ ,CHAPA,compras@aco-brasil.com,BÓRIS,3533-7777,marcao@aco-brasil.com, JOCIARA,  -   ,  -   ,  -   ,"3,668",Inativo,, - , -, -,,,
ACO BRASIL,"CHAPA FQ 3,75 NBR6658",3.75,"1,200.00"," 3,000 ","30,000",CFQ ,CHAPA,compras@aco-brasil.com,BÓRIS,3533-7777,, JOCIARA,  -   ,  -   ,  -   ,"3,668",Inativo,, - , -, -,,,
ACO BRASIL,"CHAPA FQ 4,25 NBR6658",4.25,"1,200.00"," 3,000 ","30,000",CFQ ,CHAPA,compras@aco-brasil.com,BÓRIS,3533-7777,marcao@aco-brasil.com, JOCIARA,  -   ,  -   ,  -   ,"3,668",Inativo,, - , -, -,,,
ACO BRASIL,"CHAPA FQ 4,75 NBR6658",4.75,"1,200.00"," 3,000 ","30,000",CFQ ,CHAPA,compras@aco-brasil.com,BÓRIS,3533-7777,, JOCIARA,  -   ,  -   ,  -   ,"3,668",Inativo,, - , -, -,,,
ACO BRASIL,"CHAPA GR LTQ  6,30 NBR8300",6.30,"1,300.00"," 3,000 ","10,000",CG DO LTQ,CHAPA,compras@aco-brasil.com,BÓRIS,3533-7777,marcao@aco-brasil.com, JOCIARA,  -   ,  -   ,  -   ,"3,668",Inativo,, - , -, -,,,
ACO BRASIL,"CHAPA GR LTQ  8,00 NBR8300",8.00,"1,000.00"," 6,000 ","10,000",CG DO LTQ,CHAPA,compras@aco-brasil.com,BÓRIS,3533-7777,marcao@aco-brasil.com, JOCIARA,  -   ,  -   ,  -   ,"3,668",Inativo,, - , -, -,,,
