Date,Inv,Est,Order,Client,Descrip,Esp,Larg,Comp,Piece_price,KG_price,Quantity,Total
04-01-2011,50238,11,93544-30,ACOBRASIL,"CHAPA FF >= 0,50 <= SEGUNDA QUALI     10.186,02","1,0000","1.200,0000","3.000,0000","1,00","0,00","2,16","4.363,00"
06-12-2013,130729,11,9999-99,ENGATCAR,"PONTA DE BOBINA FQ 0,00","9,9999","9.999,9999","9.999,9999","1,60","0,00","2.639,00","4.433,52"
10-10-2013,126548,11,9999-99,ENGATCAR,"PONTA DE BOBINA FQ 0,00","9,9999","9.999,9999","9.999,9999","1,60","0,00","1.577,00","2.649,36"
29-10-2013,127923,11,9999-99,ENGATCAR,"PONTA DE BOBINA FQ 0,00","9,9999","9.999,9999","9.999,9999","1,60","0,00","2.287,00","3.842,16"
18-02-2014,134947,11,9999-99,ENGATCAR,"PONTA DE BOBINA FQ 0,00","9,9999","9.999,9999","9.999,9999","1,60","0,00","1.805,00","3.032,40"
15-12-2015,175565,11,218347-20,ENGATCAR,"CHAPA FF > 1,00 < SEGUNDA QUALIDA     25.886,39","2,9900","1.200,0000","3.000,0000","3,00","0,00","2,30","10.719,00"
27-09-2018,233488,11,269725-10,M7COMERCIO,"BOB FF > 1,00 < SEGUNDA QUALIDADE     24.129,00","2,9900","1.200,0000","0,0000","3,00","0,00","3,83","6.000,00"
27-02-2019,241704,11,277196-20,M7COMERCIO,"BOB FF > 1,00 < SEGUNDA QUALIDADE     31.326,75","2,9900","1.500,0000","0,0000","3,00","0,00","3,40","8.775,00"
28-02-2019,241799,11,277197-20,M7COMERCIO,"BOB FF >= 0,50 <= SEGUNDA QUALIDA     27.292,65","1,0000","910,0000","0,0000","1,00","0,00","3,40","7.645,00"
29-07-2019,250216,11,284901-10,NOVAGERACA,"BOB FQ DEC >= 4,75 <= SEGUNDA QU     26.538,75","10,0000","1.500,0000","0,0000","10,00","0,00","3,00","8.425,00"
02-02-2022,300949,11,9999-99,NO CLIENT,"F L A N T E C H DEBITO DIRETO 0,00","9,9999","9.999,9999","9.999,9999","0,00","0,00","1.103,90","0.000,00"
02-02-2022,300948,11,9999-99,NO CLIENT,"F L A N T E C H DEBITO DIRETO 0,00","9,9999","9.999,9999","9.999,9999","0,00","0,00","2.109,03","0.000,00"
04-09-2023,331641,11,359941-30,SCARELI,"CHAPA ZC 1,95 ASTM A 653 CSB Z275 C/TQ","1,9500","1.200,0000","3.000,0000","0,00","7,70","1.548,00","12.306,99"
06-10-2023,333552,11,361713-10,ASPIRAZIONE,"CHAPA FQ 1,50 SAE1008","1,5000","1.200,0000","3.000,0000","0,00","6,26","855,00","5.526,25"
09-10-2023,333641,11,360580-20,UTIMIL,"BLANK GA FF 0,90 SAE1008 OL SMODIH","0,9000","331,0000","390,0000","0,00","7,90","1.118,00","9.119,25"
09-10-2023,333641,11,361356-40,UTIMIL,"TIRA ZC BOB 0,80 NBR7008 ZC CR NO RV Z","0,8000","54,0000","0,0000","0,00","8,67","2.121,00","18.986,71"
09-10-2023,333641,11,361356-60,UTIMIL,"BLANK GA FF 0,90 SAE1008 OL SMODIH","0,9000","285,0000","375,0000","0,00","7,90","1.083,00","8.833,76"
16-10-2023,333947,11,361604-70,METCRESPAR,"TIRA FF BOB 0,90 NBR6658 OL SHMODIH","0,9000","39,0000","0,0000","0,00","8,36","1.638,00","14.138,72"
16-10-2023,333947,11,361604-80,METCRESPAR,"TIRA FF BOB 0,90 NBR6658 OL SHMODIH","0,9000","44,0000","0,0000","0,00","8,36","3.139,00","27.094,91"
29-11-2023,336440,11,363921-10,CHIAPERINI,"CHAPA FQ 1,50 SAE1008","1,5000","1.200,0000","3.000,0000","0,00","5,74","434,00","2.572,12"
01-07-2024,347452,11,375357-10,ACOPLANO,"BOB FQ 3,35 SAE1010 ACAB","3,3500","1.500,0000","0,0000","0,00","5,54","13.685,00","78.278,88"
01-07-2024,347452,11,375357-20,ACOPLANO,"BOB FQ 3,00 CSN ARQ CIVIL 300-Q03 ACAB","3,0000","1.200,0000","0,0000","0,00","5,54","11.955,00","68.383,20"
