Date,Inv,Est,Order,Client,Descrip,Esp,Larg,Comp,Piece_price,KG_price,Quantity,Total
01-04-2014,0137826,11,178776-10,FLANTECH,"CHAPA GR LTQ 9,00 SAE1010","9,0000","1.200,0000","2.000,0000","0,00","2,74","7.613,00","20.859,62"
01-04-2014,0033436,14,178669-10,GPANIZ,"FLANGE OXICORTADO LCG 12,50 NBR 8300","12,5000","90,0000","420,0000","73,01","5,63","778,00","4.652,13"
01-04-2014,0033437,14,160513-10,GPANIZ,"FLANGE OXICORTADO LCG 9,50 NBR 8300","9,5000","90,0000","360,0000","40,00","5,97","335,00","2.123,63"
01-04-2014,0000450,41,179283-20,MAQENGE,"TIRA FF BOB 0,60 SAE1006 OL","0,6000","213,0000","0,0000","0,00","3,28","2.750,00","9.471,00"
01-04-2014,0137777,11,175050-10,BORTOLOTTO,"TIRA ZC BOB 0,80 NBR7008 ZC CR NO REV","0,8000","346,0000","0,0000","0,00","3,94","502,00","2.076,77"
01-07-2014,0143677,11,178990-20,METMETALCIN,"TR REL 0,35 BOB NBR5007 G4RL BbOL","0,3500","260,0000","0,0000","0,00","5,52","2.891,00","16.756,24"
01-07-2014,0143677,11,175602-30,METMETALCIN,"TR REL 0,30 BOB NBR5007 G4RL BbOL","0,3000","260,0000","0,0000","0,00","5,52","2.944,00","17.063,42"
01-07-2014,0143702,11,186925-10,GPANIZ,"CHAPA ZC 0,50 NBR7008 ZC CR NO RV Z275","0,5000","1.000,0000","2.580,0000","0,00","4,00","2.122,00","8.912,40"
01-07-2014,0143702,11,186699-30,GPANIZ,"CHAPA FQ 4,75 NBR6658","4,7500","1.200,0000","3.000,0000","0,00","2,68","3.196,00","8.993,54"
01-07-2014,0143702,11,187129-40,GPANIZ,"CHAPA FQ 3,35 NBR6658","3,3500","1.200,0000","3.000,0000","0,00","2,78","1.995,00","5.823,41"
01-07-2014,0143707,11,175602-10,METMETALCIN,"TR REL 0,40 BOB NBR5007 G4RL BbOL","0,4000","260,0000","0,0000","0,00","5,52","4.364,00","25.293,74"
01-08-2014,0145826,11,186910-20,METMETALCIN,"TIRA FF BOB 0,75 NBR5915 EEP OL","0,7500","67,0000","0,0000","0,00","4,10","981,00","4.223,21"
01-08-2014,0145826,11,189432-30,METMETALCIN,"TR REL 0,35 BOB NBR5007 G4RL BbOL","0,3500","260,0000","0,0000","0,00","5,52","1.526,00","8.844,70"
01-08-2014,0145826,11,186910-30,METMETALCIN,"TIRA FF BOB 0,75 NBR5915 EEP OL","0,7500","67,0000","0,0000","0,00","4,10","1.158,00","4.985,19"
01-08-2014,0145826,11,186919-40,METMETALCIN,"TIRA FF BOB 0,40 NBR5915 EEP OL","0,4000","260,0000","0,0000","0,00","4,25","4.624,00","20.634,60"
01-08-2014,0035876,14,190037-10,FAMERTEC,"CHAPA GR LCG 19,00 ASTM A 36","19,0000","2.000,0000","3.000,0000","0,00","2,75","957,00","2.763,34"
01-09-2014,0147857,11,191850-10,GPANIZ,"CHAPA ZC 0,80 NBR7008 ZC CR NO RV B","0,8000","1.000,0000","3.000,0000","0,00","3,70","979,00","3.803,42"
01-10-2014,0149972,11,191340-20,BASECOMPONE,"TIRA FF BOB 1,90 NBR6658 OL","1,9000","25,0000","0,0000","0,00","3,53","1.038,00","3.847,35"
01-10-2014,0149971,11,192545-10,LUPEME,"TIRA FF BOB 1,20 NBR5915 EP OL","1,2000","36,0000","0,0000","0,00","3,30","856,00","2.966,04"
01-10-2014,0149936,11,193432-20,GPANIZ,"CHAPA FQ 4,75 NBR6658","4,7500","1.200,0000","3.000,0000","0,00","2,68","3.020,00","8.498,28"
01-12-2014,0154113,11,197907-10,METCOSBI,"TIRA FQ DEC BOB 4,75 NBR6658 OL","4,7500","45,0000","0,0000","0,00","3,23","1.110,00","3.764,57"
01-12-2014,0154114,11,197766-10,MAQENGE,"TIRA FF BOB 0,60 SAE1006 OL","0,6000","213,0000","0,0000","0,00","3,20","2.888,00","9.703,68"
01-12-2014,0154111,11,197525-10,ANDREMODENA,"CHAPA FF 0,60 NBR6658 OL","0,6000","1.200,0000","3.000,0000","0,00","3,10","1.013,00","3.297,32"
01-12-2014,0154111,11,197525-20,ANDREMODENA,"CHAPA FF 0,45 NBR6658 OL","0,4500","1.200,0000","3.000,0000","0,00","3,20","1.030,00","3.460,80"
01-12-2014,0154116,11,191853-40,METMETALCIN,"TR REL 0,35 BOB NBR5007 G2L32 BbOL","0,3500","260,0000","0,0000","0,00","5,52","1.036,00","6.004,66"
01-12-2014,0154135,11,198034-20,GPANIZ,"CHAPA ZC 0,80 NBR7008 ZC CR NO RV B","0,8000","1.000,0000","3.000,0000","0,00","3,68","1.008,00","3.894,91"
01-12-2014,0154117,11,197070-10,FERNANDA,"TIRA FQ DEC BOB 2,25 NBR6658 OL","2,2500","30,0000","0,0000","0,00","3,39","1.330,00","4.734,14"
02-04-2014,0137927,11,181109-10,GPANIZ,"CHAPA ZC MINIM/PP 0,50 NBR7008 ZC F/V","0,5000","1.200,0000","3.000,0000","0,00","6,12","1.584,00","10.281,95"
02-04-2014,0000456,41,180036-20,GPANIZ,"CHAPA FQ DEC 2,00 NBR6658 OL","2,0000","1.200,0000","3.000,0000","0,00","3,18","5.587,00","18.870,64"
02-05-2014,0139709,11,181378-10,LUPEME,"TIRA FF BOB 1,20 NBR5915 EP OL","1,2000","30,0000","0,0000","0,00","3,30","2.656,00","9.203,04"
02-05-2014,0139712,11,181838-10,GPANIZ,"CHAPA FQ 4,75 NBR6658","4,7500","1.200,0000","3.000,0000","0,00","2,70","3.022,00","8.764,46"
02-06-2014,0141725,11,183769-10,BENFATI,"TIRA FQ DEC BOB 2,00 NBR6658 OL","2,0000","30,0000","0,0000","0,00","3,28","1.099,00","3.784,96"
02-07-2014,0143759,11,187239-10,GPANIZ,"CHAPA ZC 0,50 NBR7008 ZC CR NO RV Z275","0,5000","1.200,0000","3.000,0000","0,00","4,00","3.976,00","16.699,20"
02-07-2014,0143752,11,187624-10,ATIVICON,"CHAPA ZC 1,95 NBR7008 ZC CR NO RV Z275","1,9500","1.200,0000","3.000,0000","0,00","3,38","2.922,00","10.370,18"
02-09-2014,0147980,11,190449-10,METALMATRIX,"TIRA FQ DEC BOB 2,25 NBR6658 OL","2,2500","90,0000","0,0000","0,00","3,02","1.525,00","4.835,78"
02-09-2014,0147989,11,191713-30,FLANTECH,"CHAPA GR LTQ 9,50 SAE1010","9,5000","1.200,0000","2.000,0000","0,00","2,66","8.782,00","23.360,12"
02-09-2014,0147997,11,191689-10,GPANIZ,"CHAPA FQ 4,75 NBR6658","4,7500","1.200,0000","3.000,0000","0,00","2,68","2.895,00","8.146,53"
02-09-2014,0147979,11,190446-20,LUPEME,"TIRA FF BOB 1,20 NBR5915 EP OL","1,2000","30,0000","0,0000","0,00","3,30","1.104,00","3.825,36"
02-09-2014,0147982,11,191713-40,FLANTECH,"CHAPA GR LTQ 9,00 SAE1010","9,0000","1.200,0000","2.000,0000","0,00","2,66","9.613,00","25.570,58"
