Date,Inv,Est,Order,Client,Descrip,Thk,Wd,Length,Piece_price,KG_price,Quantity,Total
01-02-2016,0177627,11,219900-10,VECTOR,"BLANK GA FF 0,90 NBR6658 OL","0,9000","411,0000","910,0000","0,00","3,48","3.005,00","10.980,27"
01-03-2016,0179195,11,221574-20,METALMATRIX,"TIRA FF BOB 1,50 NBR6658 OL","1,5000","28,0000","0,0000","0,00","2,95","1.049,00","3.249,28"
01-03-2016,0179196,11,222002-20,METCOSBI,"TIRA FQ DEC BOB 3,00 NBR6658 OL","3,0000","25,0000","0,0000","0,00","3,36","918,00","3.238,70"
01-03-2016,0179194,11,221588-10,MAQENGE,"TIRA FF BOB 0,60 SAE1006 OL","0,6000","290,0000","0,0000","0,00","3,40","3.099,00","11.063,43"
01-03-2016,0179231,11,221054-10,METMETALCIN,"TR REL 0,35 BOB NBR5007 G2L290 BbOL","0,3500","260,0000","0,0000","0,00","6,17","1.021,00","6.614,55"
01-04-2016,0181050,11,223146-10,UTIMIL,"BLANK GA FF 0,90 NBR6658 OL","0,9000","285,0000","375,0000","0,00","3,44","2.103,00","7.596,04"
01-04-2016,0181042,11,223212-10,KEKO,"CHAPA FQ 2,00 SAE1010","2,0000","1.200,0000","3.000,0000","0,00","2,55","3.074,00","8.432,89"
01-04-2016,0181042,11,224325-20,KEKO,"CHAPA GR LTQ 6,30 SAE1010","6,3000","1.500,0000","3.000,0000","0,00","2,50","4.117,00","11.077,99"
01-04-2016,0181046,11,219346-10,BRIMEL,"TIRA FF BOB 0,60 NBR5915 EEP OL","0,6000","52,0000","0,0000","0,00","4,04","2.002,00","8.492,48"
01-04-2016,0181046,11,219345-20,BRIMEL,"TIRA FF BOB 0,60 NBR5915 EM OL","0,6000","25,0000","0,0000","0,00","4,04","474,00","2.010,71"
01-04-2016,0181046,11,219346-20,BRIMEL,"TIRA FF BOB 0,60 NBR5915 EM OL","0,6000","25,0000","0,0000","0,00","4,04","525,00","2.227,05"
01-07-2016,0186503,11,227793-10,LUPEME,"TIRA FF BOB 1,06 NBR5915 EP OL","1,0600","26,0000","0,0000","0,00","3,28","821,00","2.827,52"
01-08-2016,0188419,11,231395-10,TECNOFRIO,"BOB ZC PP 0,50 NBR7008 ZC F/V BRCO/BRC","0,5000","1.200,0000","0,0000","0,00","5,80","4.179,00","25.450,11"
01-08-2016,0188418,11,224151-20,METMETALCIN,"TR REL 0,30 BOB NBR5007 G4RL BbOL","0,3000","260,0000","0,0000","0,00","6,09","547,00","3.497,79"
01-08-2016,0188418,11,224152-40,METMETALCIN,"TR REL 0,35 BOB NBR5007 G4RL BbOL","0,3500","260,0000","0,0000","0,00","6,09","1.767,00","11.299,08"
01-08-2016,0188418,11,231380-50,METMETALCIN,"TR REL 0,30 BOB NBR5007 G2L290 BbOL","0,3000","260,0000","0,0000","0,00","6,09","1.642,00","10.499,77"
01-08-2016,0188418,11,224151-60,METMETALCIN,"TR REL 0,35 BOB NBR5007 G2L290 BbOL","0,3500","260,0000","0,0000","0,00","6,09","482,00","3.082,15"
01-08-2016,0188418,11,229784-70,METMETALCIN,"TIRA FF BOB 0,75 NBR5915 EEP OL","0,7500","67,0000","0,0000","0,00","4,25","1.081,00","4.823,96"
01-08-2016,0188361,11,230340-10,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR MI REV","1,2500","25,0000","0,0000","0,00","3,97","1.724,00","6.844,28"
01-08-2016,0188354,11,231139-10,KEKO,"CHAPA FF 1,50 NBR5915 EM OL","1,5000","1.200,0000","1.595,0000","0,00","3,31","1.404,00","4.984,97"
01-08-2016,0188349,11,228267-10,GPANIZ,"CHAPA GR LTQ 6,30 NBR8300","6,3000","1.200,0000","3.000,0000","0,00","2,60","1.458,00","3.980,34"
01-09-2016,0190440,11,231431-10,KEKO,"CHAPA FQ 4,25 SAE1010","4,2500","1.500,0000","3.000,0000","0,00","2,88","1.503,00","4.661,96"
01-09-2016,0190440,11,231825-10,KEKO,"CHAPA GR LTQ 6,30 SAE1010","6,3000","1.500,0000","3.000,0000","0,00","2,88","1.605,00","4.978,35"
01-09-2016,0190432,11,224152-20,METMETALCIN,"TR REL 0,30 BOB NBR5007 G4RL BbOL","0,3000","260,0000","0,0000","0,00","6,09","1.106,00","7.072,32"
01-09-2016,0190432,11,231452-40,METMETALCIN,"TR REL 0,35 BOB NBR5007 G4RL BbOL","0,3500","260,0000","0,0000","0,00","6,09","1.478,00","9.451,07"
01-09-2016,0190432,11,229784-50,METMETALCIN,"TR REL 0,30 BOB NBR5007 G2L290 BbOL","0,3000","260,0000","0,0000","0,00","6,09","1.762,00","11.267,11"
01-09-2016,0190432,11,224152-60,METMETALCIN,"TR REL 0,35 BOB NBR5007 G2L290 BbOL","0,3500","260,0000","0,0000","0,00","6,09","501,00","3.203,64"
01-09-2016,0190432,11,229784-80,METMETALCIN,"TIRA FF BOB 0,75 NBR5915 EEP OL","0,7500","67,0000","0,0000","0,00","4,25","1.070,00","4.774,88"
01-09-2016,0190431,11,231097-10,METAISWIZET,"TR REL 0,30 BOB NBR5007 G4RL BbOL","0,3000","37,0000","0,0000","0,00","6,55","998,00","6.863,75"
01-09-2016,0190430,11,232114-10,VECTOR,"BLANK GA FF 0,60 NBR6658 OL","0,6000","311,0000","574,0000","0,00","3,83","4.576,00","18.402,38"
01-09-2016,0190430,11,232119-20,VECTOR,"BLANK GA FF 0,90 NBR6658 OL","0,9000","654,0000","297,0000","0,00","3,83","2.790,00","11.219,99"
01-11-2016,0194254,11,235947-10,SCARELI,"CHAPA ZC 0,95 NBR7008 ZC CR NO RV Z275","0,9500","1.200,0000","2.700,0000","0,00","3,95","11.840,00","49.106,40"
01-12-2016,0195947,11,236593-10,TECNOFRIO,"BOB ZC 0,95 NBR7008 ZC CR NO RV Z275 A","0,9500","1.200,0000","0,0000","0,00","4,20","3.469,00","15.298,29"
01-12-2016,0195948,11,237181-10,CIRNA,"TIRA FQ DEC BOB 3,00 NBR6658 OL","3,0000","287,0000","0,0000","0,00","3,56","5.295,00","19.792,71"
01-12-2016,0195897,11,236412-10,LUZI,"TIRA FF BOB 1,20 NBR5915 EP OL","1,2000","55,5000","0,0000","0,00","3,53","4.814,00","17.843,09"
02-02-2016,0177714,11,218393-10,PERFILLINE,"TIRA ZC BOB 0,43 NBR7008 ZC CR NO REV","0,4300","30,0000","0,0000","0,00","3,90","14.604,00","59.803,38"
02-02-2016,0177715,11,217837-10,METMETALCIN,"TR REL 0,30 BOB NBR5007 G2L32 BbOL","0,3000","260,0000","0,0000","0,00","6,17","2.269,00","14.699,72"
02-02-2016,0177715,11,217837-20,METMETALCIN,"TR REL 0,30 BOB NBR5007 G4RL BbOL","0,3000","260,0000","0,0000","0,00","6,17","486,00","3.148,55"
02-02-2016,0177715,11,220334-30,METMETALCIN,"TIRA FF BOB 0,75 NBR5915 EEP OL","0,7500","67,0000","0,0000","0,00","4,05","1.041,00","4.426,85"
02-02-2016,0177715,11,217605-40,METMETALCIN,"TR REL 0,40 BOB NBR5007 G4RL BbOL","0,4000","260,0000","0,0000","0,00","6,17","356,00","2.306,35"
02-02-2016,0177715,11,217837-40,METMETALCIN,"TR REL 0,35 BOB NBR5007 G4RL BbOL","0,3500","260,0000","0,0000","0,00","6,17","2.222,00","14.395,23"
02-02-2016,0177712,11,213321-20,MAQENGE,"TIRA FF BOB 0,60 NBR6651 EEV OL","0,6000","354,0000","0,0000","0,00","3,80","2.397,00","9.564,03"
02-02-2016,0177713,11,220320-10,METAISWIZET,"TIRA FF BOB 0,60 NBR6658 OL","0,6000","42,0000","0,0000","0,00","3,09","1.126,00","3.653,31"
02-03-2016,0179302,11,221570-10,METALMATRIX,"TIRA FQ DEC BOB 2,25 NBR6658 OL","2,2500","63,0000","0,0000","0,00","2,88","729,00","2.204,50"
02-03-2016,0179302,11,221574-10,METALMATRIX,"TIRA FQ DEC BOB 2,25 NBR6658 OL","2,2500","90,0000","0,0000","0,00","2,88","1.409,00","4.260,82"
02-03-2016,0179301,11,220459-10,VECTOR,"BLANK GA FF 0,90 NBR6658 OL","0,9000","411,0000","910,0000","0,00","3,48","4.091,00","14.948,51"
02-03-2016,0179303,11,213330-10,MAQENGE,"TIRA FF BOB 0,60 NBR6651 EEV OL","0,6000","213,0000","0,0000","0,00","3,80","1.211,00","4.831,89"
02-03-2016,0179303,11,222925-10,MAQENGE,"TIRA FF BOB 0,60 NBR6651 EEV OL","0,6000","213,0000","0,0000","0,00","3,80","2.033,00","8.111,67"
02-05-2016,0182719,11,223481-10,METMETALCIN,"TR REL 0,30 BOB NBR5007 G2L290 BbOL","0,3000","260,0000","0,0000","0,00","5,80","2.289,00","13.940,01"
02-05-2016,0182719,11,217850-20,METMETALCIN,"TR REL 0,30 BOB NBR5007 G4RL BbOL","0,3000","260,0000","0,0000","0,00","5,80","785,00","4.780,65"
02-05-2016,0182719,11,223461-40,METMETALCIN,"TR REL 0,35 BOB NBR5007 G4RL BbOL","0,3500","260,0000","0,0000","0,00","5,80","2.009,00","12.234,81"
02-05-2016,0182719,11,223462-50,METMETALCIN,"TIRA FF BOB 0,75 NBR5915 EEP OL","0,7500","67,0000","0,0000","0,00","4,05","1.007,00","4.282,27"
02-05-2016,0182717,11,225329-10,TECNOFRIO,"BOB ZC 0,95 NBR7008 ZC CR NO RV Z275 A","0,9500","1.200,0000","0,0000","0,00","3,38","4.195,00","14.888,06"
02-06-2016,0184698,11,227219-10,VECTOR,"BLANK GA FF 0,90 NBR6658 OL","0,9000","411,0000","910,0000","0,00","3,83","3.111,00","12.510,89"
02-06-2016,0184688,11,226931-10,KEKO,"CHAPA GR LTQ 6,30 SAE1010","6,3000","1.200,0000","3.000,0000","0,00","2,63","2.946,00","8.356,51"
02-06-2016,0184667,11,226493-10,GPANIZ,"CHAPA FF 1,06 NBR6658 OL","1,0600","1.200,0000","3.000,0000","0,00","2,69","1.512,00","4.270,64"
