observation_date,Iron_Ore_U.S.D_Metric_Ton
1990-01-01,14.05
1990-02-01,14.05
1990-03-01,14.05
1990-04-01,14.05
1990-05-01,14.05
1990-06-01,14.05
1990-07-01,14.05
1990-08-01,14.05
1990-09-01,14.05
1990-10-01,14.05
1990-11-01,14.05
1990-12-01,14.05
1991-01-01,15.03
1991-02-01,15.03
1991-03-01,15.03
1991-04-01,15.03
1991-05-01,15.03
1991-06-01,15.03
1991-07-01,15.03
1991-08-01,15.03
1991-09-01,15.03
1991-10-01,15.03
1991-11-01,15.03
1991-12-01,15.03
1992-01-01,14.31
1992-02-01,14.31
1992-03-01,14.31
1992-04-01,14.31
1992-05-01,14.31
1992-06-01,14.31
1992-07-01,14.31
1992-08-01,14.31
1992-09-01,14.31
1992-10-01,14.31
1992-11-01,14.31
1992-12-01,14.31
1993-01-01,12.58
1993-02-01,12.58
1993-03-01,12.58
1993-04-01,12.58
1993-05-01,12.58
1993-06-01,12.58
1993-07-01,12.58
1993-08-01,12.58
1993-09-01,12.58
1993-10-01,12.58
1993-11-01,12.58
1993-12-01,12.58
1994-01-01,11.45
1994-02-01,11.45
1994-03-01,11.45
1994-04-01,11.45
1994-05-01,11.45
1994-06-01,11.45
1994-07-01,11.45
1994-08-01,11.45
1994-09-01,11.45
1994-10-01,11.45
1994-11-01,11.45
1994-12-01,11.45
1995-01-01,12.27
1995-02-01,12.27
1995-03-01,12.27
1995-04-01,12.27
1995-05-01,12.27
1995-06-01,12.27
1995-07-01,12.27
1995-08-01,12.27
1995-09-01,12.27
1995-10-01,12.27
1995-11-01,12.27
1995-12-01,12.27
1996-01-01,12.97
1996-02-01,12.97
1996-03-01,12.97
1996-04-01,12.97
1996-05-01,12.97
1996-06-01,12.97
1996-07-01,12.97
1996-08-01,12.97
1996-09-01,12.97
1996-10-01,12.97
1996-11-01,12.97
1996-12-01,12.97
1997-01-01,13.04
1997-02-01,13.04
1997-03-01,13.04
1997-04-01,13.04
1997-05-01,13.04
1997-06-01,13.04
1997-07-01,13.04
1997-08-01,13.04
1997-09-01,13.04
1997-10-01,13.04
1997-11-01,13.04
1997-12-01,13.04
1998-01-01,13.41
1998-02-01,13.41
1998-03-01,13.41
1998-04-01,13.41
1998-05-01,13.41
1998-06-01,13.41
1998-07-01,13.41
1998-08-01,13.41
1998-09-01,13.41
1998-10-01,13.41
1998-11-01,13.41
1998-12-01,13.41
1999-01-01,11.93
1999-02-01,11.93
1999-03-01,11.93
1999-04-01,11.93
1999-05-01,11.93
1999-06-01,11.93
1999-07-01,11.93
1999-08-01,11.93
1999-09-01,11.93
1999-10-01,11.93
1999-11-01,11.93
1999-12-01,11.93
2000-01-01,12.45
2000-02-01,12.45
2000-03-01,12.45
2000-04-01,12.45
2000-05-01,12.45
2000-06-01,12.45
2000-07-01,12.45
2000-08-01,12.45
2000-09-01,12.45
2000-10-01,12.45
2000-11-01,12.45
2000-12-01,12.45
2001-01-01,12.99
2001-02-01,12.99
2001-03-01,12.99
2001-04-01,12.99
2001-05-01,12.99
2001-06-01,12.99
2001-07-01,12.99
2001-08-01,12.99
2001-09-01,12.99
2001-10-01,12.99
2001-11-01,12.99
2001-12-01,12.99
2002-01-01,12.68
2002-02-01,12.68
2002-03-01,12.68
2002-04-01,12.68
2002-05-01,12.68
2002-06-01,12.68
2002-07-01,12.68
2002-08-01,12.68
2002-09-01,12.68
2002-10-01,12.68
2002-11-01,12.68
2002-12-01,12.68
2003-01-01,13.82
2003-02-01,13.82
2003-03-01,13.82
2003-04-01,13.82
2003-05-01,13.82
2003-06-01,13.82
2003-07-01,13.82
2003-08-01,13.82
2003-09-01,13.82
2003-10-01,13.82
2003-11-01,13.82
2003-12-01,13.82
2004-01-01,16.39
2004-02-01,16.39
2004-03-01,16.39
2004-04-01,16.39
2004-05-01,16.39
2004-06-01,16.39
2004-07-01,16.39
2004-08-01,16.39
2004-09-01,16.39
2004-10-01,16.39
2004-11-01,16.39
2004-12-01,16.39
2005-01-01,28.11
2005-02-01,28.11
2005-03-01,28.11
2005-04-01,28.11
2005-05-01,28.11
2005-06-01,28.11
2005-07-01,28.11
2005-08-01,28.11
2005-09-01,28.11
2005-10-01,28.11
2005-11-01,28.11
2005-12-01,28.11
2006-01-01,33.45
2006-02-01,33.45
2006-03-01,33.45
2006-04-01,33.45
2006-05-01,33.45
2006-06-01,33.45
2006-07-01,33.45
2006-08-01,33.45
2006-09-01,33.45
2006-10-01,33.45
2006-11-01,33.45
2006-12-01,33.45
2007-01-01,36.63
2007-02-01,36.63
2007-03-01,36.63
2007-04-01,36.63
2007-05-01,36.63
2007-06-01,36.63
2007-07-01,36.63
2007-08-01,36.63
2007-09-01,36.63
2007-10-01,36.63
2007-11-01,36.63
2007-12-01,36.63
2008-01-01,60.8
2008-02-01,60.8
2008-03-01,60.8
2008-04-01,60.8
2008-05-01,60.8
2008-06-01,60.8
2008-07-01,60.8
2008-08-01,60.8
2008-09-01,60.8
2008-10-01,60.8
2008-11-01,60.8
2008-12-01,69.9826087
2009-01-01,72.50909091
