Description,Product Type,Family Product
"BLANK CL FF OL 0,75 NBR 6658",BKFF,BLANK
"BLANK CL FF OL 0,90 NBR 6658",BKFF,BLANK
"BLANK CL FF OL 1,20 NBR 6658",BKFF,BLANK
"BLANK CL FF OL 1,50 NBR 6658",BKFF,BLANK
"BLANK CL FF OL 1,90 NBR 6658",BKFF,BLANK
"BLANK CL FQ 1,50 NBR 6658",BKFQ,BLANK
"BLANK CL FQ 2,00 NBR 6658",BKFQ,BLANK
"BLANK CL FQ 2,25 NBR 6658",BKFQ,BLANK
"BLANK CL FQ 2,65 NBR 6658",BKFQ,BLANK
"BLANK CL FQ 3,00 NBR 6658",BKFQ,BLANK
"BLANK CL FQ 3,35 NBR 6658",BKFQ,BLANK
"BLANK CL FQ 3,75 NBR 6658",BKFQ,BLANK
"BLANK CL FQ 4,25 NBR 6658",BKFQ,BLANK
"BLANK CL FQ 4,75 NBR 6658",BKFQ,BLANK
"BLANK CL GR LTQ 6,30 NBR 8300",BKGRLTQ,BLANK
"BLANK CL GR LTQ 8,00 NBR 8300",BKGRLTQ,BLANK
"BLANK CL GR LTQ 9,50 NBR 8300",BKGRLTQ,BLANK
"BLANK CORTE LASER FQ 2,00 NBR 6658",LASER,CORTE TÉRMICO
"BLANK CORTE LASER GR LTQ 8,00 NBR 8300",LASER,CORTE TÉRMICO
"BLANK GA FF 0,45 NBR6658 OL",BKFF,BLANK
"BLANK GA FF 0,60 NBR6658 OL",BKFF,BLANK
"BLANK GA FF 0,75 NBR5915 EEP OL",BKFF,BLANK
"BLANK GA FF 0,75 NBR5915 EP OL",BKFF,BLANK
"BLANK GA FF 0,75 NBR6658 OL",BKFF,BLANK
"BLANK GA FF 0,90 NBR5915 EEP OL",BKFF,BLANK
"BLANK GA FF 0,90 NBR5915 EM OL",BKFF,BLANK
"BLANK GA FF 0,90 NBR6658 OL",BKFF,BLANK
"BLANK GA FF 1,06 NBR5915 EEP OL",BKFF,BLANK
"BLANK GA FF 1,06 NBR6658 OL",BKFF,BLANK
"BLANK GA FF 1,20 NBR5915 EEP OL",BKFF,BLANK
"BLANK GA FF 1,20 NBR5915 EM OL",BKFF,BLANK
"BLANK GA FF 1,20 NBR5915 EP OL",BKFF,BLANK
"BLANK GA FF 1,20 NBR6658 OL",BKFF,BLANK
"BLANK GA FF 1,50 NBR5915 EEP OL",BKFF,BLANK
"BLANK GA FF 1,50 NBR5915 EM OL",BKFF,BLANK
"BLANK GA FF 1,50 NBR5915 EP OL",BKFF,BLANK
"BLANK GA FF 1,50 NBR6658 OL",BKFF,BLANK
"BLANK GA FF 1,90 NBR5915 EM OL",BKFF,BLANK
"BLANK GA FF 1,90 NBR5915 EP OL",BKFF,BLANK
"BLANK GA FF 1,90 NBR6658 OL",BKFF,BLANK
"BLANK GA FQ DEC OL 2,00 NBR5906 EM",BKDECOL,BLANK
"BLANK GA FQ DEC OL 2,00 NBR6658",BKDECOL,BLANK
"BLANK GA FQ DEC OL 2,25 NBR6658",BKDECOL,BLANK
"BLANK GA FQ DEC OL 2,65 NBR6658",BKDECOL,BLANK
"BLANK GA FQ DEC OL 3,00 NBR5906 EM",BKDECOL,BLANK
"BLANK GA FQ DEC OL 3,00 NBR6658",BKDECOL,BLANK
"BLANK GA FQ DEC OL 3,00 NBR6658",BKDECOL,BLANK
"BLANK GA ZC 0,35 NBR7008 ZC",BKZC,BLANK
"BLANK GA ZC 0,43 NBR7008 ZC CR NO REV B",BKZC,BLANK
"BLANK GA ZC 0,50 NBR7008 ZC",BKZC,BLANK
"BLANK GA ZC 0,65 NBR7008 ZC",BKZC,BLANK
"BLANK GA ZC 0,80 NBR7008 ZC",BKZC,BLANK
"BLANK GA ZC 0,80 NBR7008 ZC EXTRAG GI RV B",BKZC,BLANK
"BLANK GA ZC 0,95 NBR7008 ZC",BKZC,BLANK
"BLANK GA ZC 1,25 NBR7008 ZC",BKZC,BLANK
"BLANK GA ZC 1,55 NBR7008 ZC",BKZC,BLANK
"BLANK GA ZC 1,95 NBR7008 ZC",BKZC,BLANK
"BLANK GM FF 1,90 NBR6658 OL",BKFF,BLANK
"BLANK GM GR LTQ 6,30 NBR8300",BKGRLTQ,BLANK
"BLANK GM GR LTQ 8,00 NBR8300",BKGRLTQ,BLANK
"BLANK OX GR LCG RETANGULAR 25,00 ASTM A 36",OXICORTE,CORTE TÉRMICO
"BLANK OX GR LCG RETANGULAR 31,50 ASTM A 36",OXICORTE,CORTE TÉRMICO
"BLANK OX GR LCG RETANGULAR 44,50 ASTM A 36",OXICORTE,CORTE TÉRMICO
"BOB ACO SILICIO 0,64 GNO C4",BOBINA SILICIO,BOBINA
"BOB ACO SILICIO 0,64 GNO C4",BOBINA SILICIO,BOBINA
"BOB AL/ZN  0,43 ASTM A792 CN C/TQ",BOBINA GALVALUME,BOBINA
"BOB AL/ZN  0,43 ASTM A792 CN S/TQ",BOBINA GALVALUME,BOBINA
"BOB AL/ZN  0,47 ASTM A792 CN C/TQ",BOBINA GALVALUME,BOBINA
"BOB AL/ZN  0,47 ASTM A792 CN S/TQ",BOBINA GALVALUME,BOBINA
"BOB AL/ZN  0,50 ASTM A792 CN C/TQ",BOBINA GALVALUME,BOBINA
"BOB AL/ZN  0,50 ASTM A792 CN C/TQ  ACAB",BOBINA GALVALUME,BOBINA
"BOB AL/ZN  0,50 ASTM A792 CN S/TQ",BOBINA GALVALUME,BOBINA
"BOB AL/ZN  0,50 SEGUNDA QUALIDADE",BOBINA GALVALUME,BOBINA
"BOB AL/ZN  0,50 SEGUNDA QUALIDADE  ACAB",BOBINA GALVALUME,BOBINA
"BOB AL/ZN  0,65 ASTM A792 CN S/TQ",BOBINA GALVALUME,BOBINA
"BOB AL/ZN < 3,00 SEGUNDA QUALIDADE MD",BOBINA GALVALUME,BOBINA
"BOB AL/ZN 0,43 ASTM A792 CN C/TQ",BOBINA GALVALUME,BOBINA
"BOB AL/ZN 0,43 ASTM A792 CN S/TQ",BOBINA GALVALUME,BOBINA
"BOB AL/ZN 0,43 ASTM A792 CN S/TQ ACA",BOBINA GALVALUME,BOBINA
"BOB AL/ZN 0,50 ASTM A792 CN C/TQ",BOBINA GALVALUME,BOBINA
"BOB AL/ZN 0,50 ASTM A792 CN C/TQ ACA",BOBINA GALVALUME,BOBINA
"BOB AL/ZN 0,65 ASTM A792 CN C/TQ ACAB",BOBINA GALVALUME,BOBINA
"BOB AL/ZN 0,65 ASTM A792 CN S/TQ",BOBINA GALVALUME,BOBINA
"BOB AL/ZN 0,75 ASTM A792 AZ150 S/TQ",BOBINA GALVALUME,BOBINA
