Date,Inv,Est,Order,Client,Descrip,Thk,Wd,Length,Piece_price,KG_price,Quantity,Total
01-04-2014,137826,11,178776-10,FLANTECH,"CHAPA GR LTQ 9,00 SAE1010","9,0000","1.200,0000","2.000,0000","0,00","2,74","7.613,00","20.859,62"
01-04-2014,33436,14,178669-10,GPANIZ,"FLANGE OXICORTADO LCG 12,50 NBR 8300","12,5000","90,0000","420,0000","73,01","5,63","778,00","4.652,13"
01-04-2014,33437,14,160513-10,GPANIZ,"FLANGE OXICORTADO LCG 9,50 NBR 8300","9,5000","90,0000","360,0000","40,00","5,97","335,00","2.123,63"
01-04-2014,450,41,179283-20,MAQENGE,"TIRA FF BOB 0,60 SAE1006 OL","0,6000","213,0000","0,0000","0,00","3,28","2.750,00","9.471,00"
01-04-2014,137777,11,175050-10,BORTOLOTTO,"TIRA ZC BOB 0,80 NBR7008 ZC CR NO REV","0,8000","346,0000","0,0000","0,00","3,94","502,00","2.076,77"
01-07-2014,143677,11,178990-20,METMETALCIN,"TR REL 0,35 BOB NBR5007 G4RL BbOL","0,3500","260,0000","0,0000","0,00","5,52","2.891,00","16.756,24"
01-07-2014,143677,11,175602-30,METMETALCIN,"TR REL 0,30 BOB NBR5007 G4RL BbOL","0,3000","260,0000","0,0000","0,00","5,52","2.944,00","17.063,42"
01-07-2014,143702,11,186925-10,GPANIZ,"CHAPA ZC 0,50 NBR7008 ZC CR NO RV Z275","0,5000","1.000,0000","2.580,0000","0,00","4,00","2.122,00","8.912,40"
01-07-2014,143702,11,186699-30,GPANIZ,"CHAPA FQ 4,75 NBR6658","4,7500","1.200,0000","3.000,0000","0,00","2,68","3.196,00","8.993,54"
01-07-2014,143702,11,187129-40,GPANIZ,"CHAPA FQ 3,35 NBR6658","3,3500","1.200,0000","3.000,0000","0,00","2,78","1.995,00","5.823,41"
01-07-2014,143707,11,175602-10,METMETALCIN,"TR REL 0,40 BOB NBR5007 G4RL BbOL","0,4000","260,0000","0,0000","0,00","5,52","4.364,00","25.293,74"
01-08-2014,145826,11,186910-20,METMETALCIN,"TIRA FF BOB 0,75 NBR5915 EEP OL","0,7500","67,0000","0,0000","0,00","4,10","981,00","4.223,21"
